hv270,hv010,hv011,hv012,hv014,hv216,hv243a,hv244,hv209,hv208,hv243b,hv206,hv207
poorer,1,0,4,0,2,no,yes,no,no,no,no,no
poorest,1,0,3,1,3,no,yes,no,no,yes,no,yes
middle,1,1,5,2,2,no,yes,no,no,yes,no,yes
poorest,1,1,5,2,4,no,yes,no,no,no,no,no
poorest,0,0,3,0,3,no,yes,no,no,no,no,no
poorest,0,0,5,0,4,no,yes,no,no,no,no,no
poorest,1,1,7,1,3,no,yes,no,no,yes,no,no
middle,1,0,3,1,1,yes,yes,no,no,no,no,yes
middle,1,0,16,2,5,yes,yes,no,no,yes,no,no
middle,1,1,5,1,4,yes,yes,no,no,yes,no,no
poorer,3,0,9,2,3,yes,yes,no,no,no,no,no
poorest,1,1,7,3,2,no,no,no,no,no,no,no
poorer,2,0,9,1,3,yes,yes,no,no,yes,no,no
poorer,1,0,6,1,5,yes,yes,no,no,no,no,no
poorer,1,0,7,3,4,no,yes,no,no,no,no,no
poorest,0,2,3,0,2,yes,yes,no,no,no,no,no
poorer,1,2,6,0,3,yes,yes,no,no,yes,no,no
poorer,2,0,8,3,6,no,yes,no,no,yes,no,no
poorer,0,0,4,0,1,no,no,no,no,no,no,yes
poorest,1,0,5,2,3,no,yes,no,no,no,no,no
poorer,4,1,9,2,4,yes,yes,no,no,yes,no,yes
poorest,1,0,3,1,2,no,yes,no,no,no,no,no
poorest,1,0,6,2,4,yes,no,no,no,no,no,no
middle,1,1,4,2,4,yes,yes,no,no,yes,no,yes
richer,1,0,9,0,5,yes,yes,no,no,yes,no,yes
poorer,2,1,6,0,2,yes,yes,no,no,no,no,no
poorest,1,0,4,2,2,no,no,no,no,no,no,no
middle,2,0,9,3,5,yes,yes,no,no,no,no,no
poorer,0,0,3,0,3,yes,yes,no,no,yes,no,yes
poorest,1,0,3,1,3,no,yes,no,no,no,no,no
poorer,2,1,5,2,2,no,yes,no,no,no,no,yes
poorer,1,2,8,1,5,no,no,no,no,no,no,no
poorer,2,0,7,1,5,yes,yes,no,no,yes,no,no
poorer,1,0,7,2,3,yes,no,no,no,no,no,no
poorest,1,1,3,1,1,yes,yes,no,no,no,no,no
poorer,1,1,6,3,3,yes,yes,no,no,no,no,no
poorer,1,0,9,2,1,yes,no,no,no,no,no,no
poorest,3,0,6,1,3,no,no,no,no,yes,no,no
poorer,3,3,13,3,3,yes,no,no,no,no,no,no
poorest,2,0,7,1,5,yes,no,no,no,no,no,no
poorest,0,1,4,1,1,no,no,no,no,no,no,no
poorest,0,0,2,0,2,no,no,no,no,no,no,no
poorer,0,0,5,0,4,yes,no,no,no,no,no,yes
poorer,0,0,1,0,2,no,no,no,no,no,no,no
poorest,1,1,6,1,1,yes,no,no,no,no,no,no
poorer,3,2,9,1,3,no,no,no,no,no,no,yes
poorest,3,0,8,2,3,yes,yes,no,no,no,no,yes
middle,1,0,3,0,1,yes,yes,no,no,no,no,no
poorest,1,0,8,2,2,yes,yes,no,no,no,no,no
poorer,2,0,8,0,6,yes,no,no,no,yes,no,yes
middle,2,0,10,2,3,yes,yes,no,no,no,no,yes
poorest,1,1,6,0,3,yes,no,no,no,no,no,no
poorest,3,2,11,4,3,yes,yes,no,no,no,no,no
poorer,3,0,10,1,3,yes,no,no,no,no,no,no
poorest,1,2,6,1,1,yes,yes,no,no,no,no,no
poorer,2,4,9,1,4,yes,yes,no,no,no,no,no
poorer,2,1,8,2,3,yes,yes,no,no,yes,no,yes
poorest,1,0,5,0,2,no,yes,no,no,no,no,no
poorest,2,0,5,1,2,no,no,no,no,no,no,no
poorest,1,0,6,1,5,yes,yes,no,no,no,no,yes
middle,1,1,7,2,3,yes,yes,no,no,yes,no,yes
poorest,1,0,7,4,2,yes,yes,no,no,yes,no,no
middle,1,1,6,2,2,yes,no,no,no,yes,no,yes
poorest,1,0,5,1,2,no,yes,no,no,no,no,no
poorer,2,1,5,0,3,yes,yes,no,no,yes,no,yes
poorest,1,0,4,2,2,no,yes,no,no,no,no,no
poorest,1,0,10,3,4,no,yes,no,no,no,no,no
poorest,2,0,5,1,4,yes,yes,no,no,no,no,no
poorest,1,1,6,2,2,no,yes,no,no,no,no,no
poorer,2,0,5,1,3,yes,yes,no,no,yes,no,yes
poorer,0,0,3,0,3,yes,no,no,no,yes,no,yes
middle,1,0,6,1,3,no,yes,no,no,yes,no,yes
poorest,1,1,7,2,3,yes,yes,no,no,no,no,no
poorer,0,1,4,2,1,yes,yes,no,no,yes,no,yes
poorest,0,0,6,1,2,no,no,no,no,no,no,no
poorest,1,0,7,2,2,yes,yes,no,no,no,no,no
poorest,1,0,6,1,4,no,yes,no,no,no,no,yes
poorest,1,1,4,0,1,yes,yes,no,no,yes,no,no
poorest,1,0,12,2,6,yes,yes,no,no,yes,no,no
poorer,2,2,7,0,3,yes,yes,no,no,no,no,yes
poorer,1,2,11,3,9,yes,yes,no,no,yes,no,yes
poorest,1,0,3,1,1,no,yes,no,no,no,no,no
poorest,1,1,6,1,2,no,yes,no,no,no,no,no
poorest,0,0,5,0,2,no,no,no,no,no,no,no
poorest,2,2,3,0,1,no,yes,no,no,no,no,no
poorest,1,0,6,2,4,no,yes,no,no,no,no,no
poorest,0,0,1,0,1,yes,yes,no,no,no,no,yes
poorer,1,1,5,0,1,yes,yes,no,no,no,no,yes
poorer,1,0,3,0,2,yes,yes,no,no,yes,no,yes
poorest,2,1,5,2,3,yes,no,no,no,no,no,no
poorer,3,1,6,0,3,yes,no,no,no,yes,no,yes
poorest,1,1,6,2,2,yes,yes,no,no,no,no,yes
poorest,2,0,7,3,3,no,yes,no,no,yes,no,yes
middle,2,0,4,0,3,yes,yes,no,no,no,no,yes
poorest,1,1,4,1,2,no,yes,no,no,no,no,no
poorest,0,0,4,0,3,no,no,no,no,no,no,no
poorest,1,0,4,2,3,no,no,no,no,no,no,no
poorest,1,0,3,0,3,no,no,no,no,no,no,no
poorest,2,1,6,0,7,no,yes,no,no,no,no,yes
poorest,1,0,5,0,3,yes,yes,no,no,no,no,no
poorer,2,0,12,6,3,no,no,no,no,no,no,yes
poorest,1,1,5,1,4,no,no,no,no,yes,no,yes
poorest,1,1,4,1,2,no,yes,no,no,no,no,no
poorest,0,0,6,1,2,no,yes,no,no,no,no,yes
richer,3,3,9,0,2,yes,no,no,yes,no,yes,yes
richest,1,0,4,1,1,yes,no,yes,yes,no,yes,no
richest,1,0,3,0,1,yes,no,yes,no,no,no,no
richer,2,0,9,2,2,yes,no,yes,yes,no,yes,no
richer,0,0,2,0,1,yes,no,no,no,no,no,no
richer,2,2,9,1,1,yes,no,no,no,yes,no,yes
richest,1,1,3,1,1,yes,no,no,yes,no,yes,yes
richest,0,1,1,0,1,no,no,no,yes,no,yes,yes
richest,0,0,1,0,1,yes,no,no,yes,no,yes,no
richest,1,0,5,0,2,yes,no,yes,yes,no,yes,yes
richest,1,0,3,1,1,yes,no,no,yes,yes,yes,yes
richer,2,1,7,0,2,yes,no,no,no,no,yes,no
richest,1,0,8,2,2,yes,no,yes,yes,no,yes,no
richest,3,0,7,3,1,yes,no,yes,yes,no,yes,yes
richest,0,0,5,2,2,yes,no,yes,yes,yes,yes,yes
richest,1,2,4,1,3,yes,no,yes,yes,yes,yes,yes
richest,1,0,4,0,5,yes,no,no,yes,no,yes,yes
richer,0,0,1,0,1,no,no,no,no,no,no,yes
richest,0,0,4,0,2,yes,no,no,no,yes,yes,yes
richest,3,0,9,1,2,yes,no,no,yes,yes,yes,no
richer,0,0,3,0,1,no,no,no,no,no,no,no
richest,0,0,2,0,1,yes,no,no,yes,no,yes,no
richest,4,0,6,1,4,yes,no,yes,yes,yes,yes,yes
richest,2,0,9,1,5,yes,no,yes,yes,yes,yes,yes
poorer,1,1,5,2,3,no,yes,no,no,no,no,no
poorest,1,1,5,1,2,no,yes,no,no,no,no,yes
poorer,1,1,4,2,1,yes,no,no,no,no,no,yes
poorer,1,0,3,0,2,no,yes,no,no,yes,no,no
poorest,1,0,2,0,1,no,yes,no,no,no,no,no
poorest,0,0,1,0,1,no,yes,no,no,no,no,yes
poorest,0,0,3,0,2,no,yes,no,no,no,no,no
middle,2,0,6,1,1,yes,yes,no,no,no,no,no
poorer,1,1,4,0,2,yes,yes,no,no,no,no,no
middle,2,1,7,2,2,yes,no,no,no,no,no,no
poorer,0,1,4,0,2,yes,yes,no,no,no,no,yes
poorer,0,0,3,0,1,no,no,no,no,no,no,no
poorer,1,1,4,1,2,no,no,no,no,no,no,no
poorer,0,0,1,0,1,no,no,no,no,no,no,yes
middle,0,0,5,0,5,yes,yes,no,no,no,no,no
poorest,0,1,2,0,2,no,yes,no,no,yes,no,no
poorer,0,0,2,0,1,no,yes,no,no,no,no,no
poorer,0,0,3,2,1,no,yes,no,no,yes,no,yes
richer,1,2,4,0,2,yes,no,no,no,yes,no,yes
poorer,2,0,6,1,2,yes,yes,no,no,yes,no,no
poorer,1,0,3,0,2,yes,yes,no,no,no,no,yes
middle,1,1,5,0,3,yes,yes,no,no,yes,no,yes
middle,1,0,4,1,3,yes,yes,no,no,no,no,yes
poorer,1,0,6,3,2,no,no,no,no,no,no,no
middle,1,3,5,0,4,yes,yes,no,no,yes,no,yes
middle,1,1,5,1,2,yes,yes,no,no,yes,no,yes
poorest,2,0,8,1,3,yes,yes,no,no,no,no,yes
poorer,0,1,6,0,4,yes,yes,no,no,no,no,yes
poorer,1,0,5,0,2,yes,no,no,no,yes,no,yes
poorest,1,1,6,1,2,no,yes,no,no,no,no,no
middle,2,0,6,2,3,yes,yes,no,no,yes,no,yes
middle,2,1,5,1,3,yes,yes,no,no,yes,no,yes
poorest,1,1,5,2,2,no,yes,no,no,no,no,no
poorest,1,0,4,0,1,no,yes,no,no,no,no,yes
poorest,1,0,5,0,1,yes,yes,no,no,no,no,no
poorest,1,1,7,1,3,yes,yes,no,no,no,no,yes
poorest,2,0,6,1,2,no,yes,no,no,yes,no,no
middle,0,1,2,0,1,yes,no,no,no,yes,no,yes
middle,2,0,7,0,3,yes,yes,no,no,yes,no,yes
poorer,1,0,7,2,3,yes,yes,no,no,yes,no,yes
poorer,0,0,3,0,2,yes,yes,no,no,yes,no,yes
poorer,0,0,1,0,1,no,yes,no,no,yes,no,yes
poorer,0,1,6,1,3,yes,yes,no,no,yes,no,yes
poorer,2,0,12,3,3,yes,yes,no,no,yes,no,yes
poorest,0,0,3,0,2,no,yes,no,no,no,no,no
middle,1,0,5,1,3,yes,yes,no,no,yes,no,yes
poorest,2,1,7,1,2,no,yes,no,no,no,no,no
middle,1,0,4,1,2,yes,yes,no,no,yes,no,yes
poorest,1,0,4,0,2,no,no,no,no,no,no,no
poorest,1,2,6,1,4,no,yes,no,no,no,no,yes
poorer,1,0,5,0,3,yes,yes,no,no,yes,no,yes
poorest,1,1,6,1,5,no,yes,no,no,no,no,no
middle,1,0,4,0,4,yes,yes,no,no,yes,no,yes
poorer,1,1,4,0,3,yes,yes,no,no,no,no,no
poorer,1,1,6,3,2,yes,yes,no,no,no,no,yes
poorer,1,0,5,0,4,yes,yes,no,no,no,no,no
poorest,1,1,4,0,3,no,yes,no,no,no,no,no
poorest,0,0,5,0,4,no,yes,no,no,no,no,no
poorer,1,0,4,0,3,yes,yes,no,no,no,no,no
poorer,1,0,5,0,2,yes,yes,no,no,yes,no,yes
poorest,1,1,3,1,2,yes,yes,no,no,no,no,no
middle,1,1,6,2,4,yes,yes,no,no,yes,no,yes
poorest,1,0,4,0,2,no,yes,no,no,no,no,no
poorest,1,1,6,3,2,no,yes,no,no,no,no,no
poorer,1,2,3,0,2,yes,yes,no,no,yes,no,no
poorer,2,0,4,0,5,yes,yes,no,no,no,no,yes
poorer,1,0,5,0,3,no,yes,no,no,no,no,no
poorer,1,0,5,2,6,no,yes,no,no,no,no,yes
poorest,2,0,6,0,5,yes,yes,no,no,no,no,no
poorest,2,1,5,2,2,yes,yes,no,no,no,no,no
middle,0,0,5,1,3,yes,yes,no,no,yes,no,yes
poorer,2,0,5,0,4,yes,yes,no,no,no,no,yes
middle,0,0,4,0,2,yes,yes,no,no,no,no,no
middle,1,0,4,1,2,yes,yes,no,no,no,no,no
poorer,0,0,1,0,1,yes,yes,no,no,no,no,no
richer,1,0,3,0,2,yes,yes,no,no,yes,no,yes
poorest,1,0,5,0,3,yes,yes,no,no,no,no,yes
richer,1,2,7,1,3,yes,yes,no,no,yes,no,yes
middle,1,0,5,2,2,yes,yes,no,no,yes,no,yes
poorer,0,0,4,1,2,no,yes,no,no,no,no,no
richest,2,0,7,1,4,yes,yes,no,yes,yes,yes,yes
poorest,1,1,5,2,1,no,yes,no,no,no,no,no
middle,0,0,1,0,1,yes,no,no,no,no,no,yes
poorest,1,0,6,2,1,no,yes,no,no,no,no,no
middle,1,0,3,0,1,yes,no,no,no,no,no,yes
middle,1,1,6,0,3,yes,yes,no,no,no,no,yes
poorest,0,0,3,1,1,no,no,no,no,no,no,no
poorest,1,0,6,1,1,no,yes,no,no,no,no,no
poorest,3,1,7,1,3,no,yes,no,no,no,no,no
poorer,3,0,9,0,3,yes,yes,no,no,yes,no,yes
poorer,2,0,4,0,2,yes,no,no,no,no,no,no
richer,1,0,5,1,1,yes,yes,no,yes,no,no,yes
middle,4,1,10,1,3,yes,no,no,no,yes,no,yes
richer,1,3,5,1,3,yes,yes,no,no,yes,no,no
poorest,1,0,4,2,1,no,yes,no,no,no,no,no
poorer,2,0,10,2,3,yes,yes,no,no,yes,no,no
poorer,1,1,6,1,4,no,yes,no,no,no,no,no
richer,1,1,4,1,1,yes,no,yes,no,no,no,no
richer,3,0,9,1,4,yes,no,no,no,yes,no,yes
richest,0,0,1,0,4,no,no,yes,yes,no,yes,yes
richest,4,0,7,0,4,yes,yes,yes,no,yes,yes,yes
richer,1,0,6,1,3,yes,no,no,no,no,no,yes
richest,2,2,7,0,4,yes,yes,yes,yes,yes,yes,yes
middle,1,2,5,0,3,yes,no,no,no,no,no,yes
richer,0,0,5,0,7,yes,no,no,no,no,no,yes
richer,2,0,6,1,3,yes,no,no,no,no,no,yes
middle,0,0,1,0,1,yes,no,no,no,no,no,no
richer,0,1,1,0,1,yes,no,no,no,no,no,yes
richer,1,0,4,1,2,yes,no,no,no,yes,no,yes
middle,2,0,4,0,6,no,yes,no,no,yes,no,no
richer,2,4,8,1,4,yes,no,no,no,yes,no,yes
middle,2,0,6,2,3,no,no,no,no,no,no,no
middle,1,0,8,1,4,yes,no,no,no,no,no,no
richer,1,1,4,2,1,yes,no,no,no,no,no,yes
poorer,2,1,4,0,2,yes,yes,no,no,no,no,yes
middle,1,1,7,2,2,no,yes,no,no,no,no,no
richer,1,0,6,2,1,yes,no,no,no,no,no,yes
richer,0,0,1,0,1,yes,no,no,no,no,yes,no
middle,1,0,7,1,3,no,yes,no,no,yes,no,no
poorer,1,0,5,0,4,yes,yes,no,no,no,no,no
poorest,1,0,3,1,1,yes,yes,no,no,yes,no,yes
poorest,3,0,4,0,2,no,yes,no,no,no,no,yes
poorest,3,0,6,1,2,no,yes,no,no,no,no,yes
poorest,1,0,6,1,3,no,yes,no,no,no,no,yes
poorest,1,1,5,1,2,no,yes,no,no,no,no,yes
poorest,1,1,4,2,1,no,no,no,no,no,no,yes
poorer,1,1,3,0,1,no,yes,no,no,no,no,yes
poorest,0,1,6,2,2,yes,yes,no,no,yes,no,no
poorer,1,0,6,2,1,yes,yes,no,no,no,no,yes
poorer,3,1,6,2,2,no,yes,no,no,no,no,yes
middle,1,1,6,2,3,no,yes,no,no,no,no,yes
poorest,2,2,6,1,4,no,yes,no,no,no,no,yes
poorer,2,0,8,0,3,no,yes,no,no,no,no,yes
poorest,0,2,3,0,1,no,yes,no,no,no,no,no
poorest,1,0,5,0,2,yes,yes,no,no,yes,no,yes
poorest,2,0,5,1,2,yes,yes,no,no,no,no,yes
poorest,1,1,4,1,2,no,yes,no,no,no,no,no
poorest,2,4,6,0,3,yes,yes,no,no,yes,no,yes
poorer,0,1,4,0,1,no,yes,no,no,no,no,yes
poorest,1,0,5,0,3,no,yes,no,no,no,no,no
poorer,2,0,4,0,1,no,yes,no,no,no,no,yes
middle,2,0,7,1,2,yes,yes,no,no,no,no,yes
poorest,3,3,8,1,3,no,yes,no,no,no,no,yes
poorest,1,0,7,1,3,yes,yes,no,no,yes,no,yes
richer,2,0,2,0,2,yes,yes,no,no,yes,yes,yes
richest,1,0,1,0,1,yes,no,no,no,yes,yes,yes
richest,0,0,2,0,1,yes,no,no,yes,yes,yes,yes
richer,1,0,7,1,2,yes,yes,no,no,yes,no,yes
richest,1,0,5,2,1,yes,no,yes,yes,yes,yes,no
richest,1,0,5,0,1,yes,no,no,yes,yes,yes,yes
richest,2,1,4,1,2,yes,no,no,yes,yes,yes,no
richest,1,0,3,1,1,yes,no,no,yes,yes,yes,yes
richer,0,1,5,0,2,yes,no,no,no,yes,no,no
richer,2,3,11,0,4,yes,no,no,no,yes,no,yes
richest,2,0,9,1,3,yes,no,yes,yes,yes,yes,yes
richest,0,0,1,0,1,yes,yes,no,yes,yes,yes,yes
richer,1,0,2,0,1,yes,no,no,yes,no,yes,no
richest,1,1,2,0,1,yes,no,no,no,yes,yes,yes
richest,2,0,11,1,2,yes,no,yes,yes,no,yes,yes
richest,1,0,6,0,1,yes,no,no,yes,no,yes,no
richest,1,0,6,1,1,yes,no,yes,yes,yes,yes,yes
richest,3,0,12,2,5,yes,no,yes,yes,yes,yes,yes
richest,2,0,3,1,3,yes,no,no,yes,no,yes,no
richest,1,1,4,0,1,yes,no,no,yes,yes,yes,yes
richer,3,1,9,1,3,yes,yes,no,no,no,yes,yes
richest,3,2,15,1,5,yes,no,yes,yes,yes,yes,yes
richest,2,3,8,0,5,yes,no,yes,yes,yes,yes,no
richest,4,1,11,2,5,yes,no,yes,yes,yes,yes,no
richer,2,2,11,1,5,yes,yes,no,yes,yes,no,yes
middle,1,1,8,2,5,yes,no,no,no,yes,no,yes
richer,0,0,1,0,1,yes,no,no,no,no,no,yes
middle,1,1,3,1,1,no,yes,no,no,no,no,no
richer,1,0,5,0,3,yes,no,no,no,yes,no,yes
richer,1,0,4,2,1,no,yes,no,no,no,no,yes
middle,1,0,5,3,2,no,yes,no,no,yes,no,no
middle,2,2,6,2,3,yes,no,no,no,no,no,yes
richer,0,0,1,0,1,yes,yes,no,no,no,no,yes
middle,1,2,9,2,5,yes,yes,no,no,no,no,yes
middle,1,1,6,0,2,yes,no,no,no,yes,no,yes
richest,7,5,23,5,10,yes,yes,yes,yes,yes,no,yes
richer,1,0,5,2,1,yes,yes,no,no,yes,no,yes
richest,1,0,6,2,3,yes,no,no,no,yes,no,yes
richer,3,0,10,4,5,yes,yes,no,no,no,no,yes
middle,1,3,11,4,6,yes,yes,no,no,no,no,yes
middle,1,0,3,0,3,yes,no,no,no,no,no,no
middle,1,0,6,2,1,yes,no,no,no,no,no,yes
richer,1,0,3,1,1,yes,no,no,no,no,no,no
richest,1,0,3,1,2,yes,yes,no,no,yes,no,yes
middle,1,0,5,1,2,no,yes,no,no,no,no,yes
poorest,1,0,6,3,1,no,yes,no,no,no,no,no
poorest,1,0,3,2,1,no,yes,no,no,no,no,no
poorest,1,0,5,1,2,no,yes,no,no,no,no,no
middle,2,0,11,2,3,yes,yes,no,no,yes,no,no
middle,1,0,3,1,1,no,no,no,no,yes,no,yes
poorer,2,1,5,2,2,yes,yes,no,no,no,no,yes
poorer,1,0,6,1,3,yes,yes,no,no,no,no,yes
middle,2,0,5,1,3,yes,yes,no,no,yes,no,yes
middle,1,1,3,1,1,no,yes,no,no,no,no,yes
poorer,6,2,19,4,7,yes,yes,no,no,yes,no,no
poorer,1,0,8,2,3,yes,yes,no,no,yes,no,yes
poorest,2,2,20,5,6,no,yes,no,no,no,no,yes
poorer,1,1,6,2,2,no,yes,no,no,no,no,yes
middle,0,0,5,0,2,no,yes,no,no,no,no,no
poorest,2,0,9,1,4,no,yes,no,no,yes,no,no
middle,4,1,12,4,4,no,yes,no,no,no,no,no
poorer,1,0,6,1,3,yes,no,no,no,yes,no,yes
poorer,1,1,5,3,1,no,yes,no,no,no,no,no
poorer,1,2,3,1,2,yes,no,no,no,no,no,no
poorest,2,0,4,0,2,no,yes,no,no,no,no,no
poorer,1,1,7,1,3,yes,yes,no,no,yes,no,yes
poorer,1,1,3,0,1,yes,yes,no,no,no,no,no
poorest,0,0,6,0,3,yes,yes,no,no,no,no,no
poorest,1,1,3,1,2,no,no,no,no,no,no,no
poorest,0,1,2,0,2,no,yes,no,no,no,no,no
poorer,0,0,2,0,2,yes,yes,no,no,no,no,no
poorest,0,0,2,0,1,no,no,no,no,no,no,no
poorer,1,1,3,1,1,yes,no,no,no,yes,no,yes
middle,1,2,3,0,3,no,yes,no,no,no,no,yes
poorer,1,0,4,0,2,yes,yes,no,no,yes,no,no
poorest,1,0,8,2,3,yes,yes,no,no,no,no,no
poorest,0,1,4,1,3,no,yes,no,no,no,no,no
poorest,1,0,6,2,3,no,no,no,no,no,no,no
poorest,1,1,3,1,1,yes,yes,no,no,no,no,no
poorest,1,0,6,1,3,no,yes,no,no,no,no,no
poorest,2,0,10,5,3,no,no,no,no,no,no,no
poorest,0,0,2,0,3,yes,yes,no,no,no,no,no
poorer,1,0,3,1,3,yes,yes,no,no,no,no,yes
poorer,1,0,7,1,4,yes,yes,no,no,yes,no,yes
poorest,0,0,7,2,2,no,yes,no,no,no,no,no
poorest,1,0,6,2,3,yes,no,no,no,yes,no,no
poorer,0,1,3,0,5,no,yes,no,no,no,no,yes
poorest,1,0,4,2,2,yes,no,no,no,yes,no,no
poorest,2,0,13,4,3,yes,yes,no,no,no,no,no
poorest,1,0,5,1,4,yes,no,no,no,yes,no,no
poorer,3,1,10,4,4,yes,yes,no,no,yes,no,no
middle,2,1,6,1,4,no,no,no,no,no,no,yes
richer,1,3,5,0,3,yes,no,no,no,yes,no,yes
middle,2,1,7,0,3,yes,yes,no,no,no,no,yes
richer,2,1,11,1,2,yes,yes,no,no,yes,no,yes
middle,1,1,5,1,3,yes,no,no,no,no,no,no
richer,1,0,8,3,2,yes,yes,no,yes,yes,no,yes
richer,1,0,3,0,1,yes,no,no,no,no,no,yes
richer,1,0,3,0,3,no,no,no,no,yes,no,no
richer,2,0,3,1,2,yes,no,no,no,no,no,no
richer,2,1,4,0,1,yes,no,no,no,yes,no,yes
richer,3,0,8,0,4,yes,yes,no,no,no,no,yes
middle,2,0,7,0,2,yes,no,no,no,yes,no,yes
richest,1,2,4,1,4,yes,yes,yes,no,no,yes,yes
richer,1,0,2,0,1,yes,no,no,no,yes,no,yes
middle,1,2,7,1,2,yes,yes,no,no,no,no,yes
richer,0,0,1,0,1,yes,no,no,no,no,no,yes
richer,2,0,3,0,1,yes,no,no,no,yes,no,no
richer,2,0,7,1,2,yes,no,no,no,yes,no,yes
richer,1,0,5,1,4,yes,yes,no,no,yes,no,yes
richer,2,0,4,0,3,yes,no,no,no,no,no,no
richer,0,1,1,0,3,yes,yes,no,no,no,no,yes
richer,1,0,3,1,2,yes,no,no,no,yes,no,yes
richer,1,0,1,0,1,yes,no,no,no,yes,no,no
richer,1,0,7,0,5,yes,no,no,no,yes,no,yes
richer,3,1,6,0,4,yes,no,no,no,no,no,yes
poorest,0,0,2,0,3,yes,no,no,no,no,no,no
middle,1,0,4,1,3,yes,yes,no,no,no,no,yes
poorer,2,2,10,2,3,yes,yes,no,no,yes,no,yes
poorer,1,0,3,0,2,yes,yes,no,no,no,no,yes
middle,1,0,5,1,3,no,yes,no,no,no,no,yes
poorer,1,0,8,4,3,yes,yes,no,no,no,no,yes
poorer,1,0,5,0,3,yes,yes,no,no,no,no,no
middle,0,0,6,0,4,yes,no,no,no,no,no,no
poorest,2,0,2,0,3,yes,yes,no,no,no,no,no
poorest,1,0,7,1,4,yes,yes,no,no,no,no,no
poorer,2,2,7,1,4,yes,yes,no,no,yes,no,yes
richest,0,1,3,0,4,yes,yes,no,yes,yes,no,yes
poorer,1,0,5,2,2,yes,yes,no,no,no,no,yes
poorer,3,2,7,1,3,yes,yes,no,no,yes,no,yes
poorest,0,0,7,1,5,yes,yes,no,no,no,no,yes
poorest,0,1,1,0,2,no,yes,no,no,no,no,no
poorer,1,2,5,1,3,yes,yes,no,no,yes,no,yes
poorest,0,0,2,0,1,no,yes,no,no,no,no,no
middle,1,2,5,1,3,yes,yes,no,no,yes,no,yes
middle,0,0,2,0,2,yes,no,no,no,yes,no,yes
poorer,1,0,4,0,3,yes,yes,no,no,yes,no,yes
middle,1,0,3,1,4,no,yes,no,no,no,no,yes
poorest,1,1,6,1,3,yes,yes,no,no,no,no,yes
middle,2,0,6,1,4,yes,yes,no,no,no,no,yes
middle,1,0,7,2,3,yes,yes,no,no,yes,no,yes
middle,1,1,4,2,2,yes,yes,no,no,yes,no,no
middle,1,0,10,3,12,yes,yes,no,no,no,no,no
poorest,1,0,3,0,1,no,yes,no,no,no,no,no
poorer,1,1,7,0,4,no,yes,no,no,no,no,no
poorest,0,0,4,1,3,no,yes,no,no,yes,no,no
poorest,2,1,5,1,3,no,yes,no,no,no,no,no
poorer,2,0,3,0,2,no,yes,no,no,no,no,no
poorer,2,0,8,2,3,yes,yes,no,no,no,no,no
poorest,1,0,6,2,3,no,yes,no,no,no,no,no
poorest,1,0,4,1,2,no,yes,no,no,no,no,no
poorest,1,1,2,0,2,no,yes,no,no,no,no,no
poorer,1,2,6,0,3,no,yes,no,no,no,no,no
poorest,0,1,2,0,1,no,yes,no,no,no,no,no
poorest,1,0,4,2,2,no,yes,no,no,no,no,no
poorest,1,1,4,0,4,no,yes,no,no,no,no,no
poorest,1,3,8,1,4,no,yes,no,no,no,no,yes
poorest,3,0,8,2,4,no,yes,no,no,no,no,no
poorest,1,0,3,1,1,no,yes,no,no,no,no,no
poorest,1,1,6,0,3,no,yes,no,no,yes,no,no
middle,1,1,8,2,4,yes,yes,no,no,yes,no,yes
middle,1,1,5,1,2,yes,yes,no,no,yes,no,no
poorest,2,1,3,0,2,no,yes,no,no,no,no,no
poorer,1,0,5,2,2,no,yes,no,no,no,no,no
richer,2,0,3,0,1,yes,no,no,no,no,no,no
richer,4,0,11,0,4,yes,no,no,no,yes,no,yes
richer,1,1,4,1,4,yes,no,no,no,yes,no,yes
middle,2,1,7,1,4,yes,yes,no,no,yes,no,yes
richer,0,0,1,0,1,yes,no,no,no,no,no,yes
middle,2,0,6,1,1,yes,no,no,no,yes,no,yes
richer,0,0,1,0,5,yes,no,no,no,yes,no,no
richer,2,1,4,1,1,yes,no,no,no,yes,no,yes
richer,1,1,4,1,4,yes,yes,no,no,no,no,yes
poorer,1,0,6,2,2,yes,no,no,no,no,no,yes
richest,1,2,6,1,6,yes,yes,yes,yes,yes,yes,yes
richer,3,2,9,1,4,yes,no,no,no,yes,no,yes
middle,1,0,6,0,2,yes,yes,no,no,yes,no,yes
richer,2,1,11,3,5,yes,yes,no,no,no,no,yes
middle,1,0,3,0,1,yes,yes,no,no,no,no,yes
middle,1,1,4,1,1,yes,yes,no,no,no,no,no
richer,1,1,4,1,1,yes,no,no,no,no,no,yes
middle,2,0,14,4,3,yes,yes,no,no,no,no,no
richer,5,2,15,1,10,yes,no,no,no,yes,no,yes
middle,3,1,9,1,2,yes,no,no,no,no,no,no
richer,1,0,8,1,2,yes,no,no,no,yes,no,yes
middle,3,0,7,1,1,yes,yes,no,no,yes,no,yes
richer,1,0,6,2,2,yes,no,no,no,yes,no,yes
richer,2,0,6,0,4,yes,yes,no,no,yes,no,yes
richer,2,0,10,3,2,yes,no,no,no,no,no,no
richer,1,0,3,1,1,yes,no,no,no,no,no,no
richest,0,0,5,0,4,yes,no,yes,no,yes,yes,yes
richer,1,1,5,0,4,yes,no,no,no,no,no,no
